4/4
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,16.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,17.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,18.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,19.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,20.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,21.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,22.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,23.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,24.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,25.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,26.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,27.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,28.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,29.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,30.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,31.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,32.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,33.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,34.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,35.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,36.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,37.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,38.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,39.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,40.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,41.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,42.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,43.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,44.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,45.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,46.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,47.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,48.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,49.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,50.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,51.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,52.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,53.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,54.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,55.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,56.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,57.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,58.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,59.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,60.5
