Chord {C in octave 4 | D in octave 4} Triple Dotted Half (3 3/4 QL),D4-interval class 2,3.75,8.0
Chord {F-sharp in octave 4 | C in octave 4} Half Triplet (1 1/3 QL),F#4-tritone,4/3,12.0
Chord {F in octave 5 | C in octave 4 | F-sharp in octave 4 | D in octave 5 | B-flat in octave 4} Quarter,B-4-enigmatic pentachord,1.0,13.5
Chord {B-flat in octave 4 | F-sharp in octave 4 | C in octave 5 | F in octave 5 | C in octave 4} Eighth,B-4-minor-second quartal tetrachord,0.5,44/3
Chord {F-sharp in octave 4 | C in octave 4} Eighth,F#4-tritone,0.5,46/3
Chord {D in octave 4 | F in octave 4} Eighth,D4-interval class 3,0.5,16.0
Chord {D in octave 4 | F in octave 4 | B-flat in octave 3} Eighth,B-3-major triad,0.5,50/3
Chord {D in octave 4 | F in octave 4 | A in octave 4 | B-flat in octave 3 | D in octave 5} Eighth,B-3-major seventh chord,0.5,17.25
Chord {A in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4 | B-flat in octave 3} Eighth,B-4-major seventh chord,0.5,18.0
Chord {D in octave 4 | F in octave 4 | D in octave 5 | B-flat in octave 3 | A in octave 4} Eighth,B-3-major seventh chord,0.5,56/3
Chord {F in octave 4 | D in octave 4 | A in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),D4-minor triad,2/3,19.25
Chord {B-flat in octave 3 | D in octave 5} Eighth,B-3-interval class 4,0.5,19.25
Chord {B-flat in octave 3 | E in octave 4} Half,E4-tritone,2.0,20.0
Chord {G-sharp in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),C6-interval class 4,5/3,20.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),C#5-half-diminished seventh chord,4/3,68/3
Chord {C in octave 4 | A in octave 3 | E in octave 4 | G in octave 4} Whole,A3-minor seventh chord,4.0,24.0
Chord {E in octave 3 | A in octave 2 | C-sharp in octave 4 | A in octave 3 | E in octave 4} Half tied to Eighth (2 1/2 total QL),A2-major triad,2.5,28.0
Chord {C-sharp in octave 3 | A in octave 2 | C-sharp in octave 4 | C-sharp in octave 5 | A in octave 3 | E in octave 4} Half tied to Eighth (2 1/2 total QL),A2-major triad,2.5,28.0
Chord {C-sharp in octave 4 | A in octave 3 | A in octave 2 | E in octave 4 | E in octave 3 | G in octave 4} Zero,A3-dominant seventh chord,0.0,92/3
Chord {G in octave 4 | G in octave 4 | G in octave 4} Quarter,G4-unison,1.0,92/3
Chord {E in octave 4 | C-sharp in octave 4 | A in octave 2 | E in octave 3 | C-sharp in octave 3 | G in octave 4} Eighth,A2-dominant seventh chord,0.5,94/3
Chord {G in octave 4 | G in octave 4 | G in octave 4} Quarter,G4-unison,1.0,94/3
Chord {A in octave 4 | F in octave 4} Dotted Half,F4-interval class 4,3.0,32.0
Chord {A in octave 3 | D in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),D3-interval class 5,3.25,32.0
Chord {D in octave 3 | F in octave 4} Zero,D3-interval class 3,0.0,36.0
Chord {B-flat in octave 2 | D in octave 4 | B-flat in octave 3 | G in octave 2} Quarter Triplet (2/3 QL),G2-minor triad,2/3,39.25
Chord {C in octave 4 | A in octave 3 | E in octave 4 | G in octave 4} Half,A3-minor seventh chord,2.0,40.0
Chord {B in octave 3 | G-sharp in octave 3 | E in octave 3 | G-sharp in octave 4} Half,E3-major triad,2.0,42.0
Chord {B in octave 4 | D in octave 5 | G in octave 4} Quarter,G4-major triad,1.0,44.0
Chord {G in octave 3 | E in octave 4 | G in octave 4} Half tied to Eighth (2 1/2 total QL),E4-interval class 3,2.5,44.0
Chord {E in octave 3 | E in octave 4 | E in octave 5 | G in octave 4} Half tied to Eighth (2 1/2 total QL),E3-interval class 3,2.5,44.0
Chord {E in octave 4 | C in octave 4 | C in octave 3 | G in octave 4 | G in octave 3 | B-flat in octave 4} Zero,C4-dominant seventh chord,0.0,140/3
Chord {B-flat in octave 4 | B-flat in octave 4} Quarter,B-4-unison,1.0,140/3
Chord {G in octave 4 | E in octave 4 | C in octave 3 | G in octave 3 | E in octave 3 | B-flat in octave 4} Eighth,C3-dominant seventh chord,0.5,142/3
Chord {B-flat in octave 4 | B-flat in octave 4 | B-flat in octave 4} Quarter,B-4-unison,1.0,142/3
Chord {E in octave 4 | E in octave 3 | A in octave 2 | C in octave 3 | C in octave 4} Half,A2-minor triad,2.0,48.0
Chord {E-flat in octave 4 | B in octave 3} Quarter,E-4-interval class 4,1.0,50.0
Chord {E-flat in octave 3 | G-sharp in octave 2} Quarter tied to 16th (1 1/4 total QL),E-3-interval class 5,1.25,50.0
Chord {G-sharp in octave 2 | B in octave 3} Zero,G#2-interval class 3,0.0,52.0
Chord {G in octave 2 | B-flat in octave 3 | D in octave 3 | B-flat in octave 2} Half,G2-minor triad,2.0,52.0
Chord {G-sharp in octave 2 | C in octave 4 | G-sharp in octave 3 | F in octave 2} Quarter Triplet (2/3 QL),F2-minor triad,2/3,55.25
